id,Title,Description,Short Description,Price,Images,Variant1,Variant2,Variant3,Category,SubCategory,Tags
SBL100ML_001,SBL Aalserum 1000 CH 100ml,,,24.99,https://cdn.shopify.com/s/files/1/1312/2961/products/1919-1-400_6d6762db-0100-409d-b0ee-2bf9d51fc1ef.jpg,,,,SBL Tinctures,Homeopathy,
SBL100ML_002,SBL Aalserum 200 CH 100ml,,,24.99,https://cdn.shopify.com/s/files/1/1312/2961/products/1492-1-400_357eeb60-2738-40f0-89c7-bfbfff185d33.jpg,,,,SBL Tinctures,Homeopathy,
SBL100ML_003,SBL Aalserum 30 CH 100ml,,,24.99,https://cdn.shopify.com/s/files/1/1312/2961/products/1068-1-400_26e41cad-e074-447b-b57a-f3d1663e6681.jpg,,,,SBL Tinctures,Homeopathy,
SBL100ML_004,SBL Abrotanum 1000 CH 100ml,,,24.99,https://cdn.shopify.com/s/files/1/1312/2961/products/1922-1-400_f065c98c-34ff-412b-90e7-d5f52949ce9e.jpg,,,,SBL Tinctures,Homeopathy,
SBL100ML_005,SBL Abrotanum 1X Q 100ml,,,24.99,https://cdn.shopify.com/s/files/1/1312/2961/products/591-1-400_85a13f68-3aad-42ef-93ab-f8570e90ec45.jpg,,,,SBL Tinctures,Homeopathy,
SBL100ML_006,SBL Abrotanum 200 CH 100ml,,,24.99,https://cdn.shopify.com/s/files/1/1312/2961/products/1495-1-400_3c5f0f77-c899-468f-9de2-b879a0d01d0b.jpg,,,,SBL Tinctures,Homeopathy,
SBL100ML_007,SBL Abrotanum 30 CH 100ml,,,24.99,https://cdn.shopify.com/s/files/1/1312/2961/products/1071-1-400_15d405ec-4552-4f98-a2d0-27c6bbdec642.jpg,,,,SBL Tinctures,Homeopathy,
SBL100ML_008,SBL Absinthium 1000 CH 100ml,,,24.99,https://cdn.shopify.com/s/files/1/1312/2961/products/1923-1-400_03d77649-ba0d-4a0b-9170-b76e5c615e31.jpg,,,,SBL Tinctures,Homeopathy,
SBL100ML_009,SBL Absinthium 1X Q 100ml,,,24.99,https://cdn.shopify.com/s/files/1/1312/2961/products/592-1-400_9503cfed-bba8-4c92-a842-75515d0bb087.jpg,,,,SBL Tinctures,Homeopathy,
SBL100ML_010,SBL Absinthium 200 CH 100ml,,,24.99,https://cdn.shopify.com/s/files/1/1312/2961/products/1496-1-400_9c7ed088-c805-4108-8297-6175bf9c517c.jpg,,,,SBL Tinctures,Homeopathy,
