id,Title,Description,Short Description,Price,Images,Variant1,Variant2,Variant3,Category,SubCategory,Tags
ReckewegValPks_001,Dr. Reckeweg R11 Rheuma drops for back pain,,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/r11-rheumatism-drops_9da8b3ee-d57e-45a3-8d27-9e1b67c852c5.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_002,Dr. Reckeweg R12 Calcification drops (22 ml each),,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/r12-350x350_112460f5-6cbc-407c-8160-8dd4ddd19468.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_003,Dr. Reckeweg R13 Hemorrhoidal drops for piles (22 ml each),,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/r13-piles-drops_40fc6c2e-b4b9-42bb-8f0f-effe2d5e4a19.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_004,Dr. Reckeweg R14 Nerve and Sleep drops (22ml each),,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/r14-sleep-nerve-drops_87dc01fa-cdbd-4e11-8294-602e5e0dcdba.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_005,Dr. Reckeweg R15 (Vita-C15) 250ml each,,,28,https://cdn.shopify.com/s/files/1/1312/2961/products/r15.jpg,,,,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_006,Dr. Reckeweg R16 Migraine and Neuralgia drops,,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/r16-migraine-headache-drops_826da805-f19d-4a87-a072-0ef0f58e8a6b.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_007,Dr. Reckeweg R17 Tumour drops (22 ml each),,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/R17-5-350x350_09f348c3-d462-4a46-a1ce-16b627a91386.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_008,Dr. Reckeweg R18 -Kidney and Bladder drops (22 ml each),,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/r18-kidney-bladder-drops_8cb0b340-1ec6-4f2d-bbb1-e347835797b6.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_009,Dr. Reckeweg R19  Glandular drops for Men (22 ml each),,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/344-1-200_d5e0e5b9-27b0-4acd-a52f-5bce18f1be55.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_010,Dr. Reckeweg R20   Glandular drops for Women (22 ml each),,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/345-1-200.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
