id,Title,Description,Short Description,Price,Images,Variant1,Variant2,Variant3,Category,SubCategory,Tags
ReckewegTabs_001,Dr. Reckeweg Natrum Phosphoricum 200x (20g),"Acidity, Morning sickness, Motion sickness, Intestinal Worms, Gouty pains
Uses of Natrum Phosphoricum:</strong>Treats a range of acid-related conditions in all ages and stages of life.Natrum phos has the power to eliminate the excess of sugar from blood.Intestinal worms, Colic, with symptoms of worms , food allergies.Morning sickness, motion sickness with sour vomiting is well treated with Natrum Phosphoricum.Fever from acidity of stomach in children.Diseases of infants, who, having been fed to excess with milk and sugar, grinding of teeth in sleep.
DOSAGE: Adults and adolescents (12 years and older)2 to 4 tablets,four times daily, or as recommended by your healthcare practitioner.Children (under 12 years) 2 tablets twice a day.
.  
 ",,$13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/235-1-400_af881935-204b-4877-9089-bc27ca6bc03e.jpg?v=1543300754,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Dr Reckeweg Tablets,Homeopathy,
ReckewegTabs_002,Dr. Reckeweg Kali Sulphuricum 200x (20g),"
Yellow Discharges, Breathlessness, Skin Rash, Eczema, Ringworm, Baldness, Hair fall
Uses of Kalium SulphuricumBreathlessness attacks which is more troubling in the evening time.Kalium sulphuricum works wonders in later stages of inflammation. Yellow, mucous and serous discharges, profuse and intermittent high body temperature.Sinusitis, Mouth breathing, snoringOxaluria (oxalate crystals in urine) kidney stones.Eruptions about the eyes and on the lids.
DOSAGE: Adults and adolescents (12 years and older)2 to 4 tablets,four times daily, or as recommended by your healthcare practitioner.Children (under 12 years) 2 tablets twice a day.
.  
 ",,$13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/232-1-400_23fdee5f-9f29-4278-933c-32b8b99cfaf9.jpg?v=1543300755,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Dr Reckeweg Tablets,Homeopathy,
ReckewegTabs_003,Dr. Reckeweg Kali Phosphoricum 200x (20g),"Mental Weakness, Examination Fear, Sleeplessness, Bad breath, Constipation
Uses of Kalium PhosphoricumIf you lack stamina, throughout the day and need energy, use Kali Phos.Retarded Nutrition (slow/improper nutrition), in children causing weakness, dullness.Helps to restore the nervous system after overwork, Kalium phosphoricum is believed to be a nerve nutrient.After shock and sudden blood loss from injuries, kali phos gives best results.Humming and buzzing in the ears.Menstrual headaches, Students headache that is releived by motion is best treated by Kalium phosphoricum.
DOSAGE: Adults and adolescents (12 years and older)2 to 4 tablets,four times daily, or as recommended by your healthcare practitioner.Children (under 12 years) 2 tablets twice a day.
.  
 ",,$13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/231-1-400_36f1718d-9204-4b67-9e72-1f8196db6b50.jpg?v=1543300755,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Dr Reckeweg Tablets,Homeopathy,
ReckewegTabs_004,Dr-Reckeweg Natrium sulphuricum 200x 20gms,,,$13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/236-1-400_f08e177d-d919-4760-bf88-e15821f1a43f.jpg?v=1502226917,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Dr Reckeweg Tablets,Homeopathy,
ReckewegTabs_005,Dr-Reckeweg Natrium muriaticum 200x 20gms,,,$13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/234-1-400_febc9f32-542e-4f4e-b189-cfcdeb896562.jpg?v=1502226916,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Dr Reckeweg Tablets,Homeopathy,
ReckewegTabs_006,Dr-Reckeweg Calcarea phosphorica 200x 20gms,,,$13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/228-1-400_52abc1c1-7e39-452a-b4a7-31add6a7ed47.jpg?v=1502226914,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Dr Reckeweg Tablets,Homeopathy,
ReckewegTabs_007,Dr-Reckeweg Kali muriaticum 200x 20gms,,,$13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/230-1-400_639c5e3a-65b7-47a1-87c2-a52e9377d2a3.jpg?v=1502226913,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Dr Reckeweg Tablets,Homeopathy,
ReckewegTabs_008,Dr-Reckeweg Calcarea fluorica 200x 20gms,,,$13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/227-1-400_312fa950-0d18-47dd-81ed-218f40659a9f.jpg?v=1502226912,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Dr Reckeweg Tablets,Homeopathy,
ReckewegTabs_009,Dr-Reckeweg Calcarea sulphurica 200x 20gms,,,$13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/238-1-400_5d132232-d50d-4e52-a818-b381257b8704.jpg?v=1502226910,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Dr Reckeweg Tablets,Homeopathy,
ReckewegTabs_010,Dr-Reckeweg Ferrum phosphoricum 200x 20gms,,,$13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/229-1-400_dc69cd10-8c5f-45b4-a39a-1c5b1e716219.jpg?v=1502226909,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Dr Reckeweg Tablets,Homeopathy,
