id,Title,Description,Short Description,Price,Images,Variant 1,Variant 2,Variant 3,Category,SubCategory,Tags
Adel_ValPaks_001,Adel Pekana Adel 85 (Neu-Regen Tonic) (250ml),"INDICATIONS For overcoming mental, physical and emotional exhaustion by restoring proper organ function. Anxiety, weak memory and lack of brain function
INGREDIENTS Argentum nitricum 6X, Cinchona pubescens (China) 4X, Conium maculatum 4X, Delphinium staphysagria (Staphysagria) 6X, Stychnos nux vomica (Nux vomica) 4X, Piper methysticum 8X, Avena sativa Ø, Panax ginseng (Ginseng) Ø.",,20.99,https://cdn.shopify.com/s/files/1/1312/2961/products/465-1-400.jpg,,,,adel tinctures,homeopathy,
Adel_ValPaks_002,Adel Pekana Adel 83 (Bronchi-Pertu) (150ml),"INDICATIONS
For excertion of toxins that cause symptoms such as dry cough with stabbing pains and pus, emphysema and headaches.

INGREDIENTS
Bryonia cretica 3X, Dactylpius coccus 2X, Grindelia robusta 8X, Guajacum 3X, Kalium stibyltartaricum 4X, Oenanthe aquatic 4X, Phosphorus 6X, Usnea barbata 12X.",,32,https://cdn.shopify.com/s/files/1/1312/2961/products/463-1-400.jpg,,,,adel tinctures,homeopathy,
Adel_ValPaks_003,Adel Pekana Adel 17 (Glautaract) (20ml),"INDICATIONS
For early stage of loss of sight; cataract; glaucoma and conjunctivitis.

INGREDIENTS
Aurum chloratum 6X, Cynara scolymus 6X, Euphrasia 4X, Glonoinum 12X, Hedera helix 4X, Tabacum 12X, Ruta graveolens 6X, Dulcamara 4X.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/428-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_004,Adel Pekana Adel 79 (Ferrodona) (250ml),"INDICATIONS
For anaemia due to iron deficiency, poor nutrition, bleeding and all other causes.

INGREDIENTS
Arsenicum album 12X, Ceanothus americanus 5X, Cinchona succirubra 4X,Cobaltum nitricum 6X, Cuprum sulfuricum 6X, Ferrum metallicum 12X, Manganum aceticum 6X, Natrium muriaticum 12X.",,20,https://cdn.shopify.com/s/files/1/1312/2961/products/462-1-400.jpg,,,,adel tinctures,homeopathy,
Adel_ValPaks_005,Adel Pekana Adel 3 (Apo-Hepat) (20ml),"INDICATIONS
For jaundice; general liver diseases and gallbladder problems and portal congestions.

INGREDIENTS
Chioanthus virginica 4X, Cynara scolymus 4X, Iberis amara 6X, Lycopodium clavatum 4X, Mandragora e rad sicc 6X, Peumus boldus 4X, Phosphorus 10X, Taraxacum officinale 12X.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/414-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_006,Adel Pekana Adel 73 (Mucan) (20ml),"INDICATIONS
For treatment of yeast, fungaland bacterial infections by promoting a healthy acid-base balance.

INGREDIENTS
Agaricus Muscarius 6X, Allium sativum 6X, Aristolochia clematis 12X, Simarouba cedron 6X, Hydrastis canadensis 12X, Okoubaka aubrevillei 6X, Vincetoxicum hirundinaria 8X.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/459-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_007,Adel Pekana Adel 66 (Toxex) (20ml),"INDICATIONS
For removal of external and internal toxins produced by alcohol, chemical drugs, heavy metals and for treatment of infections of organs and mucous membrances.

INGREDIENTS
Argentum nitricum 6X, Bryonia cretica 6X, Clematis recta 6X, Echinacea 6X, Galium aparine 6X, Glechoma hederacea 6X, Hydrastis canadensis 6X, Ledum palustre 6X.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/457-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_008,Adel Pekana Adel 4 (Apo Rheum) (20ml),"INDICATIONS
For gout, low back pain, cervical spondylosis, sprains/sports injuries; tennis elbow.

INGREDIENTS
Arnica Montana 6X, Bryonia cretica 6X, Colchicum autumnale 4X, Gnaphalium obtusifolium 4X, Guajacum 6X, Lachnanthes tinctoria 4X, Solanum dulcamara 4X, Taraxacum officinale 4X.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/415-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_009,Adel Pekana Adel 43 (Cardinorma) (20ml),"INDICATIONS
For cardiac insufficiency; angina pectorics; irregular heart beats; arteriosclerosis and cardiac spasms.

INGREDIENTS
Arnica Montana 4X, Carbo vegetabilis 12X, Kalium carbonicum 6X, Lachesis muta 12X, Nerium oleander 6X, Nicotiana tabacum 6X, Peumus boldus 12X, Crataegus 6X.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/449-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_010,Adel Pekana Adel 79 (Ferrodona) (250ml),"INDICATIONS
For anaemia due to iron deficiency, poor nutrition, bleeding and all other causes.

INGREDIENTS
Arsenicum album 12X, Ceanothus americanus 5X, Cinchona succirubra 4X,Cobaltum nitricum 6X, Cuprum sulfuricum 6X, Ferrum metallicum 12X, Manganum aceticum 6X, Natrium muriaticum 12X.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/462-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
